Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
2009	Jul	24-Jul-09	SPAIN	Catalunya	Sant Salvador	Invalid	Shark involvement questionable	1.0	['11']	['Laceration to left foot']	['Swimming']	['N']	['F']	Summer
2009	Jul	31-Jul-09	BAHAMAS	Abaco Islands	Spanish Cay	Unprovoked	Bull shark	1.0	['14']	['Lacerations to calf']	['Spearfishing']	['N']	['M']	Summer
2009	Jun	01-Jun-09	EGYPT	St. Johns Reef	Habili Gafar	Unprovoked	Oceanic whitetip shark, 2.5 to 3m	1.0	['50']	['FATAL']	['Snorkeling']	['Y']	['F']	Summer
2009	Jun	02-Jun-09	EGYPT	St. Johns Reef	Habili Gafar	Unprovoked	Oceanic whitetip shark	1.0	[nan, nan]	['Lacerations to left hand', '3 cm laceration to shoulder']	['Scuba diving', 'Scuba diving']	['N', 'N']	['M', 'M']	Summer
2009	Jun	16-Jun-09	USA	Florida	Melbourne Beach, Brevard County	Invalid	Shark involvement probable, but not confirmed	1.0	['14']	['2-inch laceration to upper left arm']	['Crawling']	['N']	['M']	Summer
2009	Jun	21-Jun-09	USA	California	Shell Beach, San Luis Obispo County	Invalid	Shark involvement not confirmed	2.0	['26']	['Puncture wounds to foot']	['Surfing']	['N']	['M']	Summer
2009	Jun	27-Jun-09	AUSTRALIA	New South Wales	Seven Mile Beach, Gerroa	Unprovoked	Thought to involve a Bronze whale shark, 2m	2.0	['52']	['2-inch laceration to upper left arm']	['Surfing']	['N']	['M']	Summer
2009	Mar	01-Mar-09	AUSTRALIA	New South Wales	Avalon	Unprovoked	2.6 m shark	1.0	['15']	['Lacerations to leg']	['Surfing']	['N']	['M']	Spring
2009	Mar	02-Mar-09	SOUTH AFRICA	Western Cape Province	Off Cape Point	Provoked	Blue shark, 1m	1.0	['40']	['Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
2009	Mar	17-Mar-09	USA	Hawaii	Alenuihaha Channel	Unprovoked	Thought to involve a cookie cutter shark	1.0	['61']	['Minor injury, bite chest and left calf']	['Swimming']	['N']	['M']	Spring
2009	Mar	18-Mar-09	USA	Florida	Ponce Inlet, Volusia County	Unprovoked	3' to 4' shark	1.0	['17']	['Minor bite to ankle']	['Surfing']	['N']	['F']	Spring
2009	Mar	20-Mar-09	AUSTRALIA	New South Wales	Blue Bay	Unprovoked	Bronze whaler shark?	1.0	['17']	['Laceration to right foot, puncture wounds to calf']	['Surfing']	['N']	['M']	Spring
2009	Mar	27-Mar-09	SOUTH AFRICA	Eastern Cape Province	2-3 km north of Sunday's River mouth	Provoked	Raggedtooth shark	1.0	['59']	['Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT']	['Fishing ']	['N']	['M']	Spring
2009	Mar	Reported 16-Mar-2009	AUSTRALIA	Western Australia	The Natural Jetty, Rottnest Island	Provoked	Wobbegong shark, 60cm	1.0	['21']	['Thigh bitten when he trod on the shark PROVOKED INCIDENT']	['Wading']	['N']	['M']	Spring
2009	Mar	Reported 17-Mar-2009	MALAYSIA	Strait of Malacca	Pulau Payar Island	Unprovoked	Blacktip reef shark pup	1.0	[nan]	['Minor injury']	['Feeding fish']	['N']	['F']	Spring
2009	May	12-May-09	GUAM	North Region	Ritidian Point	Provoked	Blacktip shark, 4'	1.0	['27']	['Speared shark bit his forearm PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Spring
2009	May	16-May-09	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	blacktip or spinner shark	1.0	['49', '55']	['Lacerations to right foot', 'Lacerations to right hand']	['Surfing', 'Surfing']	['N', 'N']	['M', 'M']	Spring
2009	May	17-May-09	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	blacktip or spinner shark	1.0	['31']	['Lacerations to left leg & foot']	['Surfing']	['N']	['M']	Spring
2009	May	25-May-09	USA	Florida	Clearwater Beach, Pinellas County	Provoked	5' to 8' shark	1.0	[nan]	['Right foot bitten']	['Swimming']	['N']	['M']	Spring
2009	May	31-May-09	TAIWAN	Off Green Island	Onboard the fishing vessel Chin Sheng Fa 13  	Provoked	80 kg shark	1.0	['46']	['Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
2009	Nov	08-Nov-09	AUSTRALIA	South Australia	Second Valley	Unprovoked	2 m shark	1.0	['25']	['Ankle bitten']	['Kayaking']	['N']	['M']	Autumn
2009	Nov	11-Nov-09	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	4' shark	1.0	['18']	['Foot bitten']	['Surfing']	['N']	['M']	Autumn
2009	Nov	16-Nov-09	USA	California	Loch Lomond, Marin County	Unprovoked	Thresher shark	1.0	['31']	['Puncture wounds and minor lacerations to dorsal surface of his left hand']	['Fishing']	['N']	['M']	Autumn
2009	Nov	24-Nov-09	USA	Florida	Lori Wilson Park, Cocoa Beach, Brevard County	Unprovoked	6' shark	1.0	['10']	['Left foot bitten']	['Wading']	['N']	['M']	Autumn
2009	Nov	25-Nov-09	USA	California	Huntington Beach, Orange County	Invalid	Shark involvement not confirmed	1.0	['49']	['Puncture wounds to right foot']	['Surfing']	['N']	['M']	Autumn
2009	Oct	02-Oct-09	UNITED KINGDOM	Devon	Mewstone Rock	Provoked	Spurdog	1.0	['39']	"[""Injury to forearm from shark's spine PROVOKED INCIDENT ""]"	['Fishing']	['N']	['M']	Autumn
2009	Oct	17-Oct-09	SCOTLAND	Fife	Deep Sea World Aquarium	Provoked	Angel shark	1.0	['23']	['15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ']	['Diving']	['N']	['M']	Autumn
2009	Oct	19-Oct-09	USA	Hawaii	Kalama Park, Maui	Unprovoked	6' to 8' shark	1.0	['54']	['Bitten on upper right thigh & right ankle']	['Surfing']	['N']	['M']	Autumn
2009	Oct	30-Oct-09	AUSTRALIA	Victoria	Portland	Unprovoked	White shark, 4m	1.0	['27']	['No injury, shark bit kayak']	['Kayaking']	['N']	['M']	Autumn
2009	Oct	Reported 29-Oct-2009	MOZAMBIQUE	Inhambane Province	Off Vilanculo	Unprovoked	Zambesi shark	1.0	[nan]	['Left ankle & foot bitten']	['Spearfishing']	['N']	['M']	Autumn
2009	Sep	12-Sep-09	USA	North Carolina	Corolla, Currituck County	Invalid	Shark involvement prior to death not confirmed	1.0	['60']	['FATAL']	['Swimming']	['Y']	['M']	Autumn
2009	Sep	26-Sep-09	USA	Florida	Key Colony Beach, Monroe County	Unprovoked	Bull shark, 8'	1.0	[nan]	['Laceration to right foot']	['Swimming']	['N']	['M']	Autumn
2010	Apr	04-Apr-10	EGYPT	Sinai Peninsula	Sharm el-Sheikh 	Unprovoked	Oceanic whitetip shark, 6'	1.0	['24']	['Lacerations to left ankle and foot']	['Swimming / treading water']	['N']	['M']	Spring
2010	Apr	13-Apr-10	SOUTH AFRICA	Eastern Cape Province	East Beach, Port Alfred	Unprovoked	2 m shark	1.0	['35']	['Both feet bitten']	['Surfing']	['N']	['M']	Spring
2010	Apr	19-Apr-10	USA	Hawaii	Hanalei Bay, Kauai	Unprovoked	14' shark	1.0	['68']	['No injury, surfboard bitten']	['Surfing']	['N']	['M']	Spring
2010	Apr	28-Apr-10	USA	Florida	Hanalei Bay	Provoked	Lemon shark, 6'	1.0	['29']	['Arm bitten PROVOKED INCIDENT ']	['Measuring sharks']	['N']	['M']	Spring
2010	Aug	02-Aug-10	USA	California	Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County	Unprovoked	White shark, 15'	1.0	[nan]	['No injury, kayak bitten']	['Kayaking']	['N']	['M']	Summer
2010	Aug	02-Aug-10	USA	Florida	Micklers Landing, St. Johns County	Unprovoked	3' to 4' shark	1.0	['37']	['Lacerations to forearm']	['Standing']	['N']	['F']	Summer
2010	Aug	05-Aug-10	USA	Florida	Bethune Beach, Volusia County	Invalid	Shark involvement not confirmed	1.0	[nan]	['Minor abrasions to legs when she was lifted on the back of a large marine animal']	['Swimming']	['N']	['F']	Summer
2010	Aug	14-Aug-10	USA	California	Pigeon Point, San Mateo County	Unprovoked	White shark	1.0	['45']	['No injury, kayak bitten']	['Kayak Fishing']	['N']	['M']	Summer
2010	Aug	17-Aug-10	AUSTRALIA	Western Australia	Cowaramup Bay	Unprovoked	White shark	1.0	['31']	['FATAL']	['Surfing']	['Y']	['M']	Summer
2010	Dec	01-Dec-10	EGYPT	South Sinai Peninsula	Ras Nasrani, Sharm el-Sheikh	Unprovoked	Mako shark	5.0	['46']	['Lacerations to right leg']	['Snorkeling']	['N']	['M']	Winter
2010	Dec	01-Dec-10	EGYPT	South Sinai Peninsula	Ras Nasrani, Sharm el-Sheikh	Unprovoked	Mako shark 	2.0	['54']	['Both arms severely bitten']	['Snorkeling']	['N']	['M']	Winter
2010	Dec	05-Dec-10	EGYPT	South Sinai Peninsula	Middle Garden, Sharm el-Shiekh	Unprovoked	Oceanic whitetip shark, 2.5m 	1.0	['70']	['FATAL']	['Snorkeling']	['Y']	['F']	Winter
2010	Dec	26-Dec-10	USA	Hawaii	 Kahului, Maui	Unprovoked	6' shark	1.0	['16']	['Lacerations to his lower left leg, calf, foot & ankle']	['Body boarding']	['N']	['M']	Winter
2010	Feb	01-Feb-10	NEW ZEALAND	South Island	Oreti Beach	Provoked	1.5 m shark	1.0	['14']	['Stepped on shark PROVOKED INCIDENT']	['Boogie Boarding']	['N']	['F']	Winter
2010	Feb	06-Feb-10	AUSTRALIA	New South Wales	Turners' Beach	Unprovoked	White shark, 2.5m	1.0	['18']	['No injury, shark & board collided']	['Body boarding']	['N']	['M']	Winter
2010	Feb	06-Feb-10	USA	Florida	Riviera Beach	Provoked	Spinner shark, 6'	1.0	[nan]	['Leg bitten while trying to free a hooked shark PROVOKED INCIDENT']	['Surf fishing / wading']	['N']	['M']	Winter
2010	Feb	11-Feb-10	AUSTRALIA	New South Wales	Mona Vale Beach, Sydney	Unprovoked	Wobbegong shark, 1.6m	1.0	['46']	['Minor injury, lacerations to left lower leg']	['Surfing']	['N']	['M']	Winter
2010	Feb	13-Feb-10	AUSTRALIA	Queensland	Dent Island, Whitsundays	Unprovoked	2 m shark	1.0	['60']	['Lacerations to legs & buttocks']	['Snorkeling']	['N']	['F']	Winter
2010	Feb	16-Feb-10	SOUTH AFRICA	Eastern Cape Province	Yellow Sands Point	Unprovoked	3 m shark	1.0	[nan]	['Lacerations to right leg']	['Surfing']	['N']	['M']	Winter
2010	Feb	Reported 06-Feb-2010	NEW ZEALAND	South Island	Cosy Nook	Provoked	2 m to 3 m shark	1.0	[nan]	['No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Winter
2010	Jan	09-Jan-10	AUSTRALIA	Torres Strait	Thursday Island	Unprovoked	Whitetip reef shark, 1m	1.0	['9']	['2 sets of minor lacerations below her right knee']	['Snorkeling']	['N']	['F']	Winter
2010	Jan	12-Jan-10	SOUTH AFRICA	Western Province	Fish Hoek	Unprovoked	White shark	1.0	['37']	['FATAL']	['Standing']	['Y']	['M']	Winter
2010	Jan	31-Jan-10	BRAZIL	Rio Grande Do Sul	Atlantis Beach, near Tramandai	Unprovoked	Thought to involve a juvenile hammerhead shark	1.0	['29']	['Foot bitten']	['Surfing']	['N']	['M']	Winter
2010	Jul	02-Jul-10	USA	California	Dog Patch, San Onofre	Unprovoked	8' shark	1.0	['48']	['No injury, board bumped by shark']	['Stand-Up Paddleboarding']	['N']	['M']	Summer
2010	Jul	02-Jul-10	USA	California	Pismo Beach, San Luis  Obispo County	Unprovoked	4' shark	1.0	['19']	['Laceration to left foot']	['Surfing']	['N']	['M']	Summer
2010	Jul	03-Jul-10	USA	New York	Off Long Island	Provoked	Blue shark, 7'	1.0	['20']	['Laceration to right bicep by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
2010	Jul	11-Jul-10	USA	Florida	Lauderdale-by-the-Sea, Broward County	Provoked	Nurse shark, juvenile 	1.0	[nan]	['Small laceration to forearm from netted shark  PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
2010	Jul	16-Jul-10	SPAIN	Grand Canary Island	Sardina del Norte, G�ldar	Provoked	Angel shark	1.0	['9']	['Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT']	['Swimming']	['N']	['M']	Summer
2010	Jul	17-Jul-10	USA	Florida	New Smyrna Beach	Unprovoked	A small spinner shark	1.0	['55']	['Minor lacerations to right foot']	['Surfing']	['N']	['M']	Summer
2010	Jul	17-Jul-10	USA	North Carolina	Wrightsville Beach, New Hanover County	Unprovoked	Sandtiger shark, 4' to 5'	1.0	['13']	['Lacerations to right forearm']	['Swimming']	['N']	['F']	Summer
2010	Jul	19-Jul-10	USA	South Carolina	Myrtle Beach	Unprovoked	Possibly a small blacktip shark	1.0	['10']	['Minor lacerations to left calf']	['Swimming']	['N']	['M']	Summer
2010	Jul	25-Jul-10	USA	South Carolina	Isle of Palms, Charleston County	Unprovoked	4' shark	1.0	['16']	['Lacerations to right lower leg']	['Standing']	['N']	['M']	Summer
2010	Jun	10-Jun-10	USA	Florida	Jacksonville	Unprovoked	4' shark	1.0	['18']	['Lacerations to left calf and foot']	['Boogie Boarding']	['N']	['F']	Summer
2010	Jun	15-Jun-10	VIETNAM	Binh Dinh Province	Quy Nhon 	Unprovoked	1 m shark	1.0	['17']	['Laceration to left foot']	['Swimming']	['N']	['M']	Summer
2010	Jun	27-Jun-10	USA	Texas	Eight Mile Beach, Galveston	Unprovoked	Bull shark, 5'	1.0	['20']	['Lacerations to right foot']	['Surfing']	['N']	['M']	Summer
2010	Mar	 27-Mar-2010	REUNION	Saint-Benoit	Bittern	Unprovoked	1.5 m shark	1.0	['34']	['No injury, board bitten']	['Surfing']	['N']	['M']	Spring
2010	May	01-May-10	USA	Florida	New Smyrna Beach	Unprovoked	4' shark	1.0	['10']	['Minor puncture wounds to right ankle']	['Wading']	['N']	['F']	Spring
2010	May	18-May-10	VIETNAM	Binh Dinh Province	Quy Nhon 	Unprovoked	20 to 30kg shark	1.0	['58', '60']	['Minor laceration to leg', 'Severe lacerations to left foot']	['Rescuing', 'Swimming']	['N', 'N']	['F', 'F']	Spring
2010	May	30-May-10	USA	Florida	Off Tarpon Springs	Provoked	Lemon shark, 4'	1.0	['49']	['Laceration to left calf by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
2010	Nov	27-Nov-10	AUSTRALIA	Western Australia	Native Dog Beach	Invalid	Shark involvement not confirmed	2.0	[nan]	['Death may have been due to drowning']	['Swimming']	['Y']	['M']	Autumn
2010	Nov	30-Nov-10	EGYPT	South Sinai Peninsula	Coral Bay, Sharm el-Sheikh	Unprovoked	Oceanic whitetip shark, 2.5m, female	1.0	['70', '48']	['Foot severed, Right forearm severed, lacerations to left hand (defense wounds)', 'Foot and arm bitten']	['Snorkeling', 'Snorkeling']	['N', 'N']	['F', 'F']	Autumn
2010	Nov	Reported 12-Nov-2010	AUSTRALIA	Western Australia	Between Carnac and Garden Islands	Boat	White shark	1.0	[nan]	['No injury to occupant. Shark rammed bottom of the boat']	['Fishing']	['N']	['M']	Autumn
2010	Oct	02-Oct-10	BAHAMAS	Abaco Islands	Elbow Cay	Unprovoked	Possibly a 6' lemon shark	1.0	[nan]	['Bitten between left ankle & knee']	['Surfing']	['N']	['F']	Autumn
2010	Oct	09-Oct-10	AUSTRALIA	New South Wales	Mullaway Headland	Unprovoked	Bull shark, 1.4m 	1.0	['22']	['Foot bitten']	['Surfing']	['N']	['M']	Autumn
2010	Oct	22-Oct-10	USA	California	Surf Beach, Vandenberg AFB, Santa Barbara County	Unprovoked	White shark, 14' to 18' 	1.0	['19']	['FATAL']	['Body boarding']	['Y']	['M']	Autumn
2010	Oct	23-Oct-10	USA	Maine	Burnt Cove near Eastport, Washington County	Unprovoked	Porbeagle shark, 8' 	1.0	['30']	['No injury to diver, shark bit his video camera']	['Scuba diving']	['N']	['M']	Autumn
2010	Oct	30-Oct-10	AUSTRALIA	Western Australia	Off Garden Island	Unprovoked	White shark	1.0	['20']	['Torso and left buttock bitten']	['Snorkeling']	['N']	['F']	Autumn
2010	Sep	 13-Sep-2010	AUSTRALIA	New South Wales	Fraser's Reef	Unprovoked	2m shark	1.0	['15']	['Lacerations and puncture wounds to leg and foot']	['Surfing']	['N']	['M']	Autumn
2010	Sep	07-Sep-10	USA	Florida	St. Augustine, St. John's County	Unprovoked	3' shark	1.0	['27']	['Lacerations to left wrist']	['Swimming']	['N']	['M']	Autumn
2010	Sep	21-Sep-10	SOUTH AFRICA	Western Cape Province	Between Dyer Island and Pearly Beach	Unprovoked	White shark	1.0	['29']	['FATAL']	['Swimming']	['Y']	['M']	Autumn
2010	Sep	27-Sep-10	USA	Oregon	Winchester Bay	Unprovoked	White shark	1.0	['29']	['No injury, surfboard rammed']	['Surfing']	['N']	['M']	Autumn
2011	Apr	13-Apr-11	INDONESIA	Bali	Balian	Unprovoked	 Bull shark, 2.5 m	1.0	[nan]	['Lacerations to forearm']	['Surfing']	['N']	['M']	Spring
2011	Apr	16-Apr-11	NEW ZEALAND	South Island	Snapper Point	Unprovoked	possibly a bronze whaler shark	1.0	['41']	['Puncture to left hand']	['Surfing']	['N']	['M']	Spring
2011	Apr	22-Apr-11	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	1' to 2' shark	1.0	['49']	['Minor puncture wounds']	['Surfing ']	['N']	['M']	Spring
2011	Apr	23-Apr-11	AUSTRALIA	Western Australia	Red Bluffs	Unprovoked	reef shark, 1.5m	1.0	['17']	['Heel bitten']	['Washing sand off a speared fish']	['N']	['M']	Spring
2011	Apr	26-Apr-11	USA	Florida	Riviera Beach, Palm Beach County	Unprovoked	Bull shark, 12'	1.0	['32']	['Calf bitten']	['Spearfishing']	['N']	['M']	Spring
2011	Aug	15-Aug-11	USA	South Carolina	Myrtle Beach, Horry County	Invalid	Shark involvement not confirmed	1.0	['7']	['Puncture wounds to foot']	['Playing in the surf']	['N']	['M']	Summer
2011	Aug	16-Aug-11	FRENCH POLYNESIA	Society Islands	Teahupoo, Tahiti	Unprovoked	Grey reef shark 	1.0	['32']	['No injury, board bitten']	['Surfing']	['N']	['M']	Summer
2011	Aug	16-Aug-11	SEYCHELLES	Praslin	Anse Lazio 	Unprovoked	Bull shark, 6'	1.0	['30']	['FATAL']	['Swimming or Snorkeling']	['Y']	['M']	Summer
2011	Aug	17-Aug-11	RUSSIA	Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)	Vityaz	Unprovoked	4 m shark	1.0	['25']	['Hands severed']	['Swimming']	['N']	['M']	Summer
2011	Aug	17-Aug-11	USA	North Carolina	Kure Beach, New Hanover County	Unprovoked	Possibly a 5' to 6' sandtiger shark	1.0	['20s']	['Lacerations to foot']	['Wading']	['N']	['F']	Summer
2011	Aug	17-Aug-11	USA	North Carolina	Wrightsville Beach, New Hanover County	Invalid	Shark involvement not confirmed	1.0	['12']	['Abrasions to left hand']	[nan]	['N']	['M']	Summer
2011	Aug	23-Aug-11	SOUTH AFRICA	Western Cape Province	Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay	Unprovoked	White shark, >6'	1.0	['49']	['FATAL']	['Surfing']	['Y']	['M']	Summer
2011	Aug	28-Aug-11	AUSTRALIA	Queensland	Fantome Island	Invalid	Shark involvement prior to death not confirmed	1.0	['48']	['FATAL']	['Swimming']	['Y']	['M']	Summer
2011	Aug	31-Aug-11	USA	Florida	Crescent Beach St. Johns County	Unprovoked	6' shark	1.0	['19']	['Lacerations to lower leg']	['Surfing']	['N']	['M']	Summer
2011	Dec	05-Dec-11	AUSTRALIA	Queensland	Bushy Ilet	Invalid	Shark involvement not confirmed	1.0	[nan]	['Killed by a shark or crocodile.']	['Spearfishing']	['Y']	[nan]	Winter
2011	Dec	07-Dec-11	AUSTRALIA	New South Wales	Maroubra	Unprovoked	Wobbegong shark	1.0	['14']	['Minor injuries to left leg ']	['Surfing']	['N']	['M']	Winter
2011	Dec	07-Dec-11	SOUTH AFRICA	KwaZulu-Natal	Between Sodwana & Cape Vidal	Invalid	Shark involvement not confirmed	1.0	[nan]	['No injury, ski damaged']	['Surf skiing ']	['N']	['M']	Winter
2011	Dec	11-Dec-11	AUSTRALIA	New South Wales	Angourie	Unprovoked	White shark, 2.5m	1.0	['51']	['5 puncture wounds to thigh']	['Surfing']	['N']	['M']	Winter
2011	Dec	21-Dec-11	USA	Hawaii	Makahuena Point, Kauai	Provoked	7' to 8' shark 	1.0	[nan]	['No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT']	['Canoeing']	['N']	['M']	Winter
2011	Dec	Reported 26-Dec-2011	ANTIGUA	St John's	Fort James Beach	Invalid	Shark involvement not confirmed	1.0	[nan]	['Bitten on right hand & wrist']	['Swimming']	['N']	['M']	Winter
2011	Feb	13-Feb-11	AUSTRALIA	Queensland	Sunshine Beach	Provoked	1 m shark	1.0	[nan]	['Lacerations to calf by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
2011	Feb	17-Feb-11	AUSTRALIA	South Australia	Off Perforated Island near Coffin Bay	Unprovoked	White shark x 2	1.0	['49']	['FATAL']	['Diving for abalone']	['Y']	['M']	Winter
2011	Feb	23-Feb-11	NEW CALEDONIA	 Loyalty Islands	Bay of Bweedro, Ouv�a	Unprovoked	1.5 m shark	1.0	['21']	['Lacerations to left forearm']	['Spearfishing']	['N']	['M']	Winter
2011	Feb	Reported 28-Feb-2011	AUSTRALIA	Queensland	Between 	Provoked	Bull shark, 2m	1.0	['36']	['Lacerations to right hand by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
2011	Jan	03-Jan-11	AUSTRALIA	Western Australia	Busselton	Boat	White shark	1.0	[nan]	['No injury, shark nudged boat and bit propeller']	['Fishing']	['N']	[nan]	Winter
2011	Jan	20-Jan-11	AUSTRALIA	New South Wales	Cudgen Creek 	Invalid	Shark involvement not confirmed	1.0	['7']	['Lacerations to both legs']	['Swimming']	['N']	['F']	Winter
2011	Jan	26-Jan-11	BAHAMAS	West End	Tiger Beach	Unprovoked	Caribbean reef shark	1.0	['55']	['Arm bitten ']	['Scuba diving']	['N']	['M']	Winter
2011	Jan	31-Jan-11	MEXICO	Quintana Roo	Cancun	Unprovoked	6' shark	1.0	['38']	['Leg, forearm & hand severely bitten']	['Swimming']	['N']	['F']	Winter
2011	Jul	22-Jul-11	SOUTH AFRICA	Eastern Cape Province	Cintza Beach, East London	Unprovoked	White shark, 3m to 4m	1.0	['29']	['Upper left arm & right leg bitten']	['Surfing']	['N']	['M']	Summer
2011	Jul	31-Jul-11	BRAZIL	Pernambuco	Praia do Pina	Invalid	Shark involvement prior to death not confirmed	1.0	['14']	['Cause of death may have been drowning; remains scavenged by sharks']	['Swimming']	['Y']	['M']	Summer
2011	Jun	01-Jun-11	MALAYSIA	Kedah	Palau Payar	Unprovoked	Blacktip reef shark 	1.0	[nan]	['Laceration to dorsum of right foot']	['Snorkeling']	['N']	['F']	Summer
2011	Jun	06-Jun-11	USA	California	La Jolla, San Diego County	Unprovoked	Sevengill shark, 6' to 8'	2.0	['28']	['No injury, minor damage to wetsuit']	['Spearfishing']	['N']	['M']	Summer
2011	Jun	06-Jun-11	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3' to 4' shark	1.0	['19']	['Puncture wound to calf']	['Wading']	['N']	['M']	Summer
2011	Jun	12-Jun-11	USA	Florida	Off Jupiter Inlet, Palm Beach County	Unprovoked	Blacktip shark, 4'	1.0	['28']	['Lacerations to right calf']	['Scuba diving']	['N']	['M']	Summer
2011	Jun	19-Jun-11	TURKS & CAICOS	Caicos Bank	French Cay	Unprovoked	5' shark	1.0	['35']	['Right calf bitten']	['Spearfishing']	['N']	['M']	Summer
2011	Jun	24-Jun-11	USA	California	San Onofre State Beach, San Diego County	Unprovoked	White shark, 5' k	1.0	[nan]	['Shark leapt onto surfboard; surfer uninjured ']	['Surfing']	['N']	['M']	Summer
2011	Jun	26-Jun-08	USA	North Carolina	North Topsail Beach, Onslow County	Unprovoked	Bull shark, 6'	1.0	['10']	['Ankle bitten']	['Playing in the surf']	['N']	['F']	Summer
2011	Jun	28-Jun-11	SOUTH AFRICA	KwaZulu-Natal	Aliwal Shoal	Unprovoked	Dusky shark, 3m	1.0	['22']	['Lacerations to left leg and hands']	['Scuba diving']	['N']	['M']	Summer
2011	Jun	Reported 14-Jun-2011	UNITED KINGDOM	Cornwall	St. Ives	Boat	Oceanic whitetip shark, 7'	1.0	[nan]	['No injury, shark slammed into boat']	['Fishing']	['N']	[nan]	Summer
2011	Mar	16-Mar-11	AUSTRALIA	New South Wales	Jimmys Beach, Port Stephens	Unprovoked	3 m to 4 m shark	1.0	['24']	['Severe injuries to head, neck, shoulder & upper left arm']	['Wakeboarding']	['N']	['F']	Spring
2011	Mar	23-Mar-11	AUSTRALIA	New South Wales	Crowdy Head	Unprovoked	Bull shark, 2.5m	1.0	['48']	['Severe injury to left forearm']	['Surfing']	['N']	['M']	Spring
2011	Mar	24-Mar-11	MEXICO	Quintana Roo	Gaviotas Beach, Cancun	Unprovoked	Bull shark	1.0	[nan]	['Lower leg & foot bitten']	['Swimming']	['N']	['F']	Spring
2011	Mar	Reported 29-Mar-2011	USA	Texas	Matagorda Beach	Provoked	Blacktip shark pup	1.0	[nan]	['Minor laceration to shoulder from captive shark PROVOKED INCIDENT']	['Standing, holding shark pup']	['N']	['M']	Spring
2011	May	10-May-11	USA	Florida	Miami	Provoked	Sandbar shark ,8'	1.0	[nan]	['Laceration to arm by captive shark PROVOKED INCIDENT']	['Fishing ']	['N']	['M']	Spring
2011	May	21-May-11	NEW CALEDONIA	North Province	Kendec	Unprovoked	 Tiger shark, 2.8m	1.0	['15']	['Thigh bitten, FATAL']	['Kite Boarding']	['Y']	['M']	Spring
2011	May	21-May-11	SOUTH AFRICA	KwaZulu-Natal	Levan Point	Unprovoked	Zambesi shark	1.0	['28']	['Thigh bitten, FATAL']	['Spearfishing']	['Y']	['M']	Spring
2011	May	22-May-11	USA	Hawaii	Lyman Beach, Kailua-Kona	Unprovoked	Tiger shark	1.0	[nan]	['No injury, board bitten']	['Paddle boarding']	['N']	['F']	Spring
2011	May	25-May-11	USA	Hawaii	Lyman Beach, Kailua-Kona	Unprovoked	Tiger shark, 10'	2.0	[nan]	['No injury, board bitten']	['Surfing']	['N']	['F']	Spring
2011	May	29-May-11	SOUTH AFRICA	Western Cape Province	Robberg Beach	Unprovoked	White shark	1.0	['33']	['No injury, board bumped by shark']	['Surfing']	['N']	['M']	Spring
2011	Nov	22-Nov-11	USA	California	Pigeon Point	Unprovoked	White shark, 15' to 16'	1.0	[nan]	['No injury, kayak bitten']	['Kayaking']	['N']	['M']	Autumn
2011	Nov	28-Nov-11	AUSTRALIA	Queensland	Peregian	Unprovoked	Wobbegong shark?	1.0	['10']	['Puncture marks to foot']	['Swimming']	['N']	['M']	Autumn
2011	Oct	  29-Oct-2011	SOUTH AFRICA	KwaZulu-Natal	uShaka Aquarium, Durban	Provoked	Raggedtooth shark	2.0	[nan]	['Arm bitten by captive shark PROVOKED INCIDENT']	['Diving']	['N']	[nan]	Autumn
2011	Oct	  29-Oct-2011	USA	California	Marina State Beach, Monterey County	Unprovoked	White shark	1.0	['27']	['Lacerations to right wrist, foream & neck']	['Surfing']	['N']	['M']	Autumn
2011	Oct	10-Oct-11	USA	Oregon	Seaside	Unprovoked	10' to 12' shark	1.0	[nan]	['No injury']	['Surfing']	['N']	['M']	Autumn
